2.649	3.046	2.729
2.644	3.037	2.739
2.634	3.027	2.744
2.624	3.017	2.758
2.615	3.003	2.763
2.605	2.993	2.778
2.6	2.983	2.788
2.59	2.968	2.802
2.58	2.959	2.812
2.571	2.949	2.832
2.561	2.934	2.841
2.551	2.924	2.861
2.546	2.91	2.876
2.537	2.9	2.895
2.532	2.885	2.91
2.522	2.876	2.929
2.517	2.861	2.944
2.512	2.851	2.959
2.507	2.837	2.978
2.502	2.827	2.998
2.497	2.817	3.012
2.493	2.802	3.032
2.488	2.797	3.046
2.483	2.788	3.066
2.478	2.778	3.081
2.478	2.768	3.1
2.473	2.763	3.11
2.468	2.754	3.129
2.468	2.749	3.139
2.463	2.744	3.154
2.463	2.734	3.164
2.458	2.729	3.178
2.458	2.724	3.183
2.458	2.719	3.198
2.454	2.719	3.203
2.454	2.714	3.212
2.454	2.71	3.217
2.454	2.71	3.227
2.449	2.705	3.227
2.449	2.705	3.237
2.449	2.7	3.237
2.449	2.7	3.247
2.449	2.7	3.252
2.449	2.7	3.256
2.449	2.695	3.261
2.449	2.695	3.266
2.449	2.695	3.271
2.449	2.695	3.276
2.454	2.69	3.281
2.454	2.69	3.291
2.458	2.69	3.296
2.463	2.69	3.3
2.468	2.69	3.305
2.473	2.69	3.31
2.478	2.69	3.315
2.488	2.69	3.32
2.493	2.69	3.325
2.502	2.69	3.335
2.507	2.695	3.335
2.517	2.695	3.339
2.527	2.7	3.339
2.537	2.7	3.344
2.546	2.705	3.349
2.556	2.71	3.349
2.571	2.714	3.349
2.58	2.724	3.354
2.595	2.729	3.354
2.61	2.739	3.359
2.62	2.749	3.359
2.634	2.758	3.364
2.649	2.768	3.359
2.659	2.783	3.364
2.673	2.793	3.364
2.688	2.807	3.364
2.703	2.817	3.364
2.717	2.827	3.369
2.732	2.841	3.364
2.742	2.856	3.369
2.756	2.866	3.369
2.771	2.88	3.369
2.786	2.895	3.369
2.795	2.91	3.369
2.81	2.924	3.369
2.82	2.939	3.369
2.829	2.954	3.369
2.839	2.968	3.369
2.849	2.983	3.369
2.854	2.998	3.369
2.864	3.017	3.369
2.869	3.032	3.369
2.873	3.046	3.369
2.878	3.066	3.369
2.883	3.076	3.369
2.888	3.09	3.369
2.893	3.105	3.369
2.893	3.125	3.369
2.898	3.134	3.369
2.903	3.149	3.369
2.903	3.159	3.369
2.908	3.169	3.364
2.908	3.183	3.364
