2.505	2.559	2.646
2.495	2.544	2.627
2.49	2.534	2.617
2.485	2.524	2.603
2.48	2.51	2.588
2.476	2.5	2.573
2.471	2.49	2.559
2.466	2.48	2.539
2.461	2.471	2.529
2.461	2.461	2.515
2.456	2.456	2.5
2.456	2.446	2.485
2.451	2.441	2.471
2.451	2.432	2.461
2.446	2.427	2.446
2.446	2.422	2.432
2.446	2.417	2.422
2.441	2.412	2.412
2.441	2.407	2.402
2.441	2.402	2.393
2.441	2.397	2.383
2.437	2.393	2.373
2.441	2.393	2.363
2.437	2.388	2.354
2.437	2.388	2.344
2.437	2.383	2.339
2.441	2.383	2.329
2.437	2.378	2.324
2.441	2.378	2.319
2.437	2.378	2.31
2.441	2.378	2.31
2.441	2.373	2.305
2.451	2.378	2.3
2.451	2.373	2.295
2.456	2.373	2.295
2.461	2.373	2.29
2.471	2.373	2.29
2.476	2.373	2.285
2.49	2.383	2.285
2.5	2.383	2.28
2.51	2.388	2.28
2.524	2.393	2.275
2.539	2.402	2.275
2.559	2.412	2.275
2.573	2.417	2.275
2.593	2.432	2.271
2.612	2.441	2.275
2.632	2.451	2.271
2.651	2.461	2.271
2.671	2.471	2.271
2.69	2.485	2.271
2.71	2.495	2.271
2.734	2.505	2.271
2.749	2.515	2.271
2.769	2.529	2.271
2.783	2.539	2.266
2.803	2.554	2.271
2.817	2.563	2.266
2.832	2.578	2.271
2.842	2.588	2.271
2.861	2.603	2.271
2.866	2.612	2.271
2.881	2.627	2.271
2.891	2.642	2.275
2.905	2.656	2.275
2.91	2.671	2.28
2.925	2.686	2.285
2.93	2.695	2.29
2.944	2.715	2.295
2.954	2.725	2.3
2.964	2.739	2.31
2.974	2.754	2.314
2.983	2.769	2.324
2.993	2.778	2.334
3.003	2.793	2.344
3.008	2.798	2.354
3.018	2.812	2.363
3.027	2.817	2.378
3.037	2.832	2.393
3.042	2.837	2.402
3.052	2.847	2.417
3.062	2.852	2.432
3.071	2.861	2.446
3.076	2.866	2.461
3.086	2.876	2.476
3.091	2.881	2.49
3.101	2.891	2.51
3.105	2.9	2.524
3.115	2.905	2.544
3.12	2.91	2.559
3.135	2.92	2.578
3.135	2.925	2.598
3.149	2.935	2.617
3.149	2.939	2.637
3.159	2.944	2.656
3.164	2.949	2.676
3.169	2.959	2.7
3.174	2.964	2.715
3.179	2.974	2.734
3.179	2.979	2.754
3.188	2.983	2.769
