Coyle1
0.744444	0.839349	0.262432	0.514238	0.446774	0.341211	0.839142	0.982493	0.626465	0.181275	0.123017	0.579969	0.328536	0.268186	0.550239	0.180517	0.678492	0.055688	0.034057	0.286518	0.077390	0.900572	0.846606	0.395698	0.169215	0.430452	0.416218	0.728763	0.406474	0.951807	0.911985	0.951414	0.346001	0.290244	0.886701	0.210031	0.130877	0.520516	0.905463	0.402530	0.215761	0.078739	0.933060	0.602872	0.377492	0.664931	0.792190	0.333492	0.692659	0.203816
0.958714	0.711832	0.166907	0.442777	0.632994	0.929967	0.529331	0.626474	0.680819	0.923198	0.152834	0.405721	0.312476	0.693899	0.890688	0.490671	0.805824	0.326439	0.549879	0.388784	0.896829	0.676120	0.828397	0.110089	0.279227	0.767636	0.216057	0.034062	0.436552	0.936864	0.262089	0.569745	0.359553	0.026839	0.500419	0.827015	0.258982	0.045885	0.246472	0.660732	0.329410	0.659496	0.013004	0.718068	0.391119	0.033505	0.406015	0.716308	0.921336	0.984016
0.983421	0.896306	0.865703	0.800961	0.554979	0.418872	0.127123	0.654621	0.863965	0.274598	0.840164	0.070755	0.378792	0.268169	0.152921	0.631000	0.316375	0.959112	0.498674	0.738609	0.012756	0.605353	0.576451	0.807379	0.654968	0.878228	0.902373	0.152233	0.192580	0.790976	0.060705	0.389827	0.299966	0.734180	0.104209	0.792575	0.782729	0.532398	0.253352	0.070955	0.625803	0.024681	0.062042	0.129612	0.450614	0.672336	0.856111	0.498445	0.048785	0.313832
0.641631	0.786387	0.289150	0.497868	0.818435	0.595128	0.536425	0.330873	0.411690	0.794006	0.343208	0.462607	0.367824	0.679571	0.567779	0.651777	0.491114	0.398458	0.477484	0.066588	0.411028	0.969092	0.780721	0.729018	0.765651	0.756581	0.843270	0.770157	0.978661	0.111359	0.396077	0.492061	0.258095	0.036966	0.974381	0.726426	0.147965	0.147895	0.704824	0.380994	0.076411	0.410840	0.142991	0.798920	0.930248	0.004719	0.650041	0.678532	0.253623	0.843181
0.293959	0.026860	0.093307	0.797885	0.711403	0.783407	0.623923	0.825415	0.035023	0.405475	0.249669	0.480897	0.880839	0.280685	0.599143	0.026226	0.155199	0.833911	0.194893	0.829788	0.338075	0.671117	0.052366	0.734309	0.499482	0.943300	0.289772	0.376560	0.113755	0.964851	0.432512	0.084563	0.716676	0.506787	0.328088	0.753524	0.836006	0.253716	0.534425	0.435165	0.157704	0.600481	0.937451	0.107759	0.899981	0.550465	0.427357	0.152381	0.247546	0.447369
0.532783	0.354651	0.773115	0.881681	0.734092	0.406432	0.604179	0.641105	0.127467	0.496192	0.310469	0.578574	0.943609	0.426940	0.033128	0.929434	0.924982	0.358307	0.259989	0.786860	0.511582	0.562527	0.684794	0.092397	0.872579	0.942938	0.096594	0.845883	0.909396	0.011341	0.523683	0.650345	0.385145	0.649302	0.762853	0.575686	0.631919	0.278204	0.839836	0.426835	0.631622	0.833467	0.270185	0.400801	0.554255	0.443865	0.090384	0.744381	0.032615	0.429743
0.037262	0.975798	0.522340	0.909630	0.383248	0.884452	0.255018	0.909050	0.894560	0.398517	0.625020	0.567597	0.894512	0.214166	0.003859	0.880581	0.235122	0.244865	0.640917	0.304524	0.825621	0.883689	0.945373	0.390795	0.801320	0.157113	0.625165	0.698985	0.085869	0.531180	0.888567	0.263666	0.234786	0.839657	0.495540	0.152366	0.230768	0.657954	0.562948	0.291829	0.622305	0.715905	0.280731	0.412273	0.362206	0.781392	0.135487	0.902070	0.289636	0.499558
0.783590	0.677062	0.149812	0.696619	0.129013	0.945946	0.886412	0.515005	0.679409	0.976793	0.125460	0.752243	0.827052	0.781430	0.190883	0.428641	0.014457	0.325285	0.134702	0.450517	0.572275	0.792023	0.419737	0.532537	0.925704	0.899082	0.544833	0.901124	0.051827	0.808603	0.334905	0.228683	0.822402	0.348235	0.165471	0.028134	0.955370	0.680291	0.860562	0.939094	0.680194	0.917424	0.256692	0.885618	0.920043	0.300063	0.073391	0.767399	0.084952	0.728764
0.447890	0.651249	0.169502	0.531449	0.633801	0.014096	0.470371	0.886326	0.114028	0.442541	0.659548	0.294773	0.950368	0.694286	0.206807	0.554762	0.879278	0.557858	0.752334	0.894901	0.841844	0.130857	0.189154	0.153640	0.028902	0.009085	0.596452	0.609049	0.918923	0.733574	0.301147	0.495574	0.258163	0.732854	0.116761	0.746042	0.809789	0.745234	0.337143	0.584325	0.468952	0.087265	0.828717	0.685945	0.267325	0.969484	0.183774	0.299941	0.411185	0.236489
0.195055	0.705379	0.180548	0.522333	0.296172	0.462782	0.925232	0.215889	0.001009	0.906606	0.680042	0.514952	0.522069	0.102919	0.996880	0.358969	0.625243	0.393367	0.007662	0.545285	0.509110	0.246779	0.045395	0.841730	0.048250	0.316320	0.783419	0.972400	0.586464	0.778044	0.727697	0.650987	0.664615	0.938780	0.535081	0.398440	0.670458	0.440534	0.132874	0.439204	0.547643	0.395136	0.398272	0.751349	0.522350	0.490433	0.088679	0.250852	0.447559	0.637961
